"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Access to NHS dental services","2020/21","January 2021 to March 2021","All","All","England","77","%","418799.7","322640.6","76.9","77.2",""
"Access to NHS dental services","2019/20","January 2020 to March 2020","All","All","England","93.7","%","369390.1","346260.8","93.6","93.8",""
"Access to NHS dental services","2018/19","January 2019 to March 2019","All","All","England","94.2","%","413489.1","389663.2","94.1","94.3",""
"Access to NHS dental services","2017/18","January 2018 to March 2018","All","All","England","94.6","%","410446.6","388220.3","94.5","94.7",""
"Access to NHS dental services","2016/17","January 2017 to March 2017","All","All","England","94.6","%","444001.2","420120.7","94.5","94.7",""
"Access to NHS dental services","2015/16","July 2015 to March 2016","All","All","England","94.7","%","229368.2","217158.6","94.5","94.8",""
"Access to NHS dental services","2014/15","July 2014 to March 2015","All","All","England","95","%","245935.3","233618.4","94.9","95.1",""
"Access to NHS dental services","2013/14","July 2013 to March 2014","All","All","England","94.8","%","259724.5","246266.5","94.7","94.9",""
"Access to NHS dental services","2012/13","July 2012 to March 2013","All","All","England","94.9","%","280042.1","265786.8","94.8","95",""
"Access to NHS dental services","2011/12","July 2011 to March 2012","All","All","England","94.5","%","278950","263739.5","94.4","94.7",""
"Access to NHS dental services","2020/21","January 2021 to March 2021","Bangladeshi","ONS 18+1","England","77.7","%","3485.3","2709.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Bangladeshi","ONS 18+1","England","91.2","%","2989.7","2726.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Bangladeshi","ONS 18+1","England","91.2","%","3377.3","3079.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Bangladeshi","ONS 18+1","England","91","%","3215.9","2927.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 18+1","England","90.3","%","2839.3","2564.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 18+1","England","90.8","%","1358.3","1233.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 18+1","England","91.6","%","1202","1100.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 18+1","England","92.7","%","1222.2","1133","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 18+1","England","88.1","%","1327.3","1169.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 18+1","England","90.4","%","1392","1258.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Indian","ONS 18+1","England","78.2","%","11706.7","9152.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Indian","ONS 18+1","England","89.9","%","9492.5","8536.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Indian","ONS 18+1","England","91.3","%","11026.9","10071.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Indian","ONS 18+1","England","91.6","%","10574.4","9691.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Indian","ONS 18+1","England","91","%","9738.8","8857.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Indian","ONS 18+1","England","90.5","%","5100.4","4616.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Indian","ONS 18+1","England","91.2","%","5037","4592.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Indian","ONS 18+1","England","91.6","%","5011.8","4588.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Indian","ONS 18+1","England","91.2","%","5379.1","4906.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Indian","ONS 18+1","England","91.8","%","5538","5083.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Pakistani","ONS 18+1","England","77.5","%","8309.2","6435.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Pakistani","ONS 18+1","England","90.9","%","7714.4","7011.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Pakistani","ONS 18+1","England","91.5","%","8383.6","7668","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Pakistani","ONS 18+1","England","91.2","%","8268.4","7542.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Pakistani","ONS 18+1","England","91.4","%","7641.8","6987.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Pakistani","ONS 18+1","England","91.1","%","4014.7","3658.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Pakistani","ONS 18+1","England","91.2","%","3520.9","3210.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Pakistani","ONS 18+1","England","91.3","%","3771.8","3443.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Pakistani","ONS 18+1","England","90.2","%","3832.8","3456.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Pakistani","ONS 18+1","England","90.4","%","4012.7","3627.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Any Other Asian Background","ONS 18+1","England","79.1","%","6182.5","4888.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Any Other Asian Background","ONS 18+1","England","90.6","%","5414.3","4903.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Any Other Asian Background","ONS 18+1","England","91.5","%","5805.3","5314.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Any Other Asian Background","ONS 18+1","England","90.6","%","5546.8","5025.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Any Other Asian Background","ONS 18+1","England","90.7","%","6198.3","5622.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Any Other Asian Background","ONS 18+1","England","90.2","%","2899.5","2614.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Any Other Asian Background","ONS 18+1","England","90.9","%","2921.5","2655","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Any Other Asian Background","ONS 18+1","England","88.7","%","2849.4","2527.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Any Other Asian Background","ONS 18+1","England","91.7","%","2877","2638.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Any Other Asian Background","ONS 18+1","England","90.7","%","3196.9","2900.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Black African","ONS 18+1","England","74.3","%","7435.7","5522.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Black African","ONS 18+1","England","87.3","%","6734.2","5881.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Black African","ONS 18+1","England","88.5","%","7437","6584.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Black African","ONS 18+1","England","88.4","%","7077.6","6254.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Black African","ONS 18+1","England","88","%","6010.2","5290.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Black African","ONS 18+1","England","89.2","%","2998.9","2674.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Black African","ONS 18+1","England","88.1","%","3028","2668.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Black African","ONS 18+1","England","88.6","%","2956.2","2620.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Black African","ONS 18+1","England","88.8","%","3259.9","2893.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Black African","ONS 18+1","England","87.2","%","3437.4","2998.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Black Caribbean","ONS 18+1","England","78","%","3557.8","2774.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Black Caribbean","ONS 18+1","England","93.6","%","3559.4","3331.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Black Caribbean","ONS 18+1","England","93.8","%","4175.2","3917.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Black Caribbean","ONS 18+1","England","93.7","%","4065.8","3811.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 18+1","England","94.4","%","3815.2","3602.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 18+1","England","93","%","1844.1","1714.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Black Caribbean","ONS 18+1","England","93.8","%","1914.3","1794.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Black Caribbean","ONS 18+1","England","93.4","%","2161.7","2019.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Black Caribbean","ONS 18+1","England","93.2","%","2332.5","2174.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Black Caribbean","ONS 18+1","England","94.9","%","2401.9","2278.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Any Other Black Background","ONS 18+1","England","76","%","2567.6","1950.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Any Other Black Background","ONS 18+1","England","89.6","%","1004.9","900.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Any Other Black Background","ONS 18+1","England","88.5","%","1042.9","923.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Any Other Black Background","ONS 18+1","England","89.9","%","994.5","894.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Any Other Black Background","ONS 18+1","England","90.4","%","1932.1","1746.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Any Other Black Background","ONS 18+1","England","91.2","%","845.8","771","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Any Other Black Background","ONS 18+1","England","91","%","878.4","799.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Any Other Black Background","ONS 18+1","England","89.6","%","974.6","873.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Any Other Black Background","ONS 18+1","England","91","%","1053.7","959","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Any Other Black Background","ONS 18+1","England","88.2","%","1136.6","1002.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Chinese","ONS 18+1","England","78","%","2733.1","2132.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Chinese","ONS 18+1","England","93.3","%","2660.1","2482.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Chinese","ONS 18+1","England","93.6","%","2945","2755.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Chinese","ONS 18+1","England","93","%","2839","2640.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Chinese","ONS 18+1","England","92","%","2609.6","2401.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Chinese","ONS 18+1","England","91.9","%","1354.6","1244.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Chinese","ONS 18+1","England","94.9","%","1353.4","1284.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Chinese","ONS 18+1","England","92.9","%","1273.5","1183.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Chinese","ONS 18+1","England","94.2","%","1341.2","1263.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Chinese","ONS 18+1","England","93.2","%","1395.9","1301.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Mixed White And Asian","ONS 18+1","England","77.1","%","1938.2","1493.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Mixed White And Asian","ONS 18+1","England","92.1","%","1823.4","1678.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Mixed White And Asian","ONS 18+1","England","91.4","%","1919.2","1753.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed White And Asian","ONS 18+1","England","94.1","%","1600.2","1505.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed White And Asian","ONS 18+1","England","94.6","%","1480.8","1400.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed White And Asian","ONS 18+1","England","94.2","%","638.9","602","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed White And Asian","ONS 18+1","England","94.3","%","712.9","672","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed White And Asian","ONS 18+1","England","94.6","%","663.1","627.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed White And Asian","ONS 18+1","England","92.3","%","824.3","760.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed White And Asian","ONS 18+1","England","92.6","%","683.6","633.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Mixed White And Black African","ONS 18+1","England","76.4","%","856.1","653.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Mixed White And Black African","ONS 18+1","England","90.7","%","638.9","579.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Mixed White And Black African","ONS 18+1","England","88.8","%","792.3","703.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed White And Black African","ONS 18+1","England","90.1","%","806.4","726.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed White And Black African","ONS 18+1","England","90","%","792","712.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed White And Black African","ONS 18+1","England","88.1","%","363.2","320.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed White And Black African","ONS 18+1","England","90.1","%","336.1","302.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed White And Black African","ONS 18+1","England","87.8","%","401.7","352.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed White And Black African","ONS 18+1","England","86","%","353.5","304","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed White And Black African","ONS 18+1","England","91.7","%","403.6","370.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Mixed White And Black Caribbean","ONS 18+1","England","74.3","%","2043.4","1518.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Mixed White And Black Caribbean","ONS 18+1","England","93","%","1694.2","1575.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Mixed White And Black Caribbean","ONS 18+1","England","94.2","%","1848","1740.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed White And Black Caribbean","ONS 18+1","England","93","%","1703.2","1584.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed White And Black Caribbean","ONS 18+1","England","92.2","%","1679.5","1548.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed White And Black Caribbean","ONS 18+1","England","95","%","773.2","734.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed White And Black Caribbean","ONS 18+1","England","94.8","%","839.7","795.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed White And Black Caribbean","ONS 18+1","England","91.7","%","858.6","787.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed White And Black Caribbean","ONS 18+1","England","93.4","%","1026.3","958.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed White And Black Caribbean","ONS 18+1","England","92","%","871.7","801.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","73.4","%","2172.3","1594.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","88.6","%","1877.3","1662.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","92.5","%","2002.8","1853.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","92.9","%","1913.8","1777.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","91.8","%","1587.7","1457.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","91.1","%","676.8","616.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","93.9","%","774.1","726.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","91.2","%","686.5","625.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","93.3","%","662.7","618","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Any Other Mixed/Multiple Ethnic Background","ONS 18+1","England","89.4","%","735.6","657.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Gypsy Or Irish Traveller","ONS 18+1","England","64.7","%","167","108.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","Gypsy Or Irish Traveller","ONS 18+1","England","91.9","%","119.4","109.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","Gypsy Or Irish Traveller","ONS 18+1","England","89","%","153.7","136.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Gypsy Or Irish Traveller","ONS 18+1","England","85.3","%","160.5","136.9","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Gypsy Or Irish Traveller","ONS 18+1","England","80.8","%","138.3","111.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Gypsy Or Irish Traveller","ONS 18+1","England","87.6","%","87.9","77","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Gypsy Or Irish Traveller","ONS 18+1","England","89.7","%","77.4","69.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Gypsy Or Irish Traveller","ONS 18+1","England","86.2","%","98.4","84.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Gypsy Or Irish Traveller","ONS 18+1","England","87.2","%","110.6","96.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Gypsy Or Irish Traveller","ONS 18+1","England","86.2","%","114.4","98.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","Roma","ONS 18+1","England","73.4","%","235","172.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","77.5","%","330106.9","255765.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","94.7","%","290090.4","274784.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.1","%","328518.8","312349.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.5","%","328028.3","313232.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.5","%","357914.6","341857.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.6","%","186277.3","178090.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.8","%","201462.1","193086","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.6","%","214793.4","205395.2","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.7","%","232161.9","222193.3","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.4","%","230680.7","219960.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2020/21","January 2021 to March 2021","White Irish","ONS 18+1","England","77.7","%","3718.2","2887.6","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2019/20","January 2020 to March 2020","White Irish","ONS 18+1","England","93.9","%","2841.4","2666.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2018/19","January 2019 to March 2019","White Irish","ONS 18+1","England","93.9","%","3334.3","3132","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","White Irish","ONS 18+1","England","94.8","%","3333.7","3161.5","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White Irish","ONS 18+1","England","95.4","%","3269.2","3118.4","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","White Irish","ONS 18+1","England","95.3","%","1800.8","1715.8","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","White Irish","ONS 18+1","England","95.8","%","1964.7","1882.1","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","White Irish","ONS 18+1","England","94.1","%","2024","1904.7","NA","NA","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","White Irish","ONS 18+1","England","94.6","%","2193.3","2074","NA","NA","No figures to report for upper and lower bounds"
